,precision,recall,f1-score,support,Timestamp
weighted avg,0.6672201218708771,0.5889328063241107,0.6106156294292369,2277.0,11122024_234338
landscape,0.6124893071000855,0.8239355581127733,0.7026496565260059,869.0,11122024_234610
portrait,0.7402597402597403,0.6063829787234043,0.6666666666666666,1128.0,11122024_234610
still-life,0.3804347826086957,0.25,0.3017241379310345,280.0,11122024_234610
accuracy,0.6455862977602108,0.6455862977602108,0.6455862977602108,0.6455862977602108,11122024_234610
macro avg,0.5777279433228405,0.5601061789453925,0.5570134870412357,2277.0,11122024_234610
weighted avg,0.647249861226788,0.6455862977602108,0.6355227536854584,2277.0,11122024_234610
landscape,0.8117154811715481,0.2232451093210586,0.3501805054151624,869.0,11122024_234811
portrait,0.5365720524017468,0.8714539007092199,0.6641891891891892,1128.0,11122024_234811
still-life,0.3592233009708738,0.2642857142857143,0.3045267489711934,280.0,11122024_234811
accuracy,0.549407114624506,0.549407114624506,0.549407114624506,0.549407114624506,11122024_234811
macro avg,0.5691702781813895,0.452994908105331,0.439632147858515,2277.0,11122024_234811
weighted avg,0.6197701152916515,0.549407114624506,0.5001228609236346,2277.0,11122024_234811
landscape,0.808955223880597,0.3118527042577675,0.4501661129568106,869.0,11122024_234906
portrait,0.5797280593325093,0.8315602836879432,0.6831755280407866,1128.0,11122024_234906
still-life,0.3024691358024691,0.35,0.3245033112582781,280.0,11122024_234906
accuracy,0.5740008783487044,0.5740008783487044,0.5740008783487044,0.5740008783487044,11122024_234906
macro avg,0.5637174730051918,0.4978043293152369,0.4859483174186252,2277.0,11122024_234906
weighted avg,0.6331166879683797,0.5740008783487044,0.5501437307605593,2277.0,11122024_234906
landscape,0.808955223880597,0.31185270425776757,0.45016611295681064,869.0,12122024_001436
portrait,0.5797280593325093,0.8315602836879432,0.6831755280407866,1128.0,12122024_001436
still-life,0.30246913580246915,0.35,0.32450331125827814,280.0,12122024_001436
accuracy,0.5740008783487044,0.5740008783487044,0.5740008783487044,0.5740008783487044,12122024_001436
macro avg,0.5637174730051918,0.49780432931523694,0.4859483174186252,2277.0,12122024_001436
weighted avg,0.6331166879683797,0.5740008783487044,0.5501437307605593,2277.0,12122024_001436
