,precision,recall,f1-score,support,Timestamp
weighted avg,0.892891906206157,0.8928,0.8925374956845626,10000.0,09102024_014914
0,0.8348530901722391,0.824,0.8293910417715148,1000.0,09102024_015314
1,0.9979274611398964,0.963,0.9801526717557252,1000.0,09102024_015314
2,0.8761160714285714,0.785,0.8280590717299579,1000.0,09102024_015314
3,0.8492647058823529,0.924,0.8850574712643678,1000.0,09102024_015314
4,0.7969924812030075,0.848,0.8217054263565892,1000.0,09102024_015314
5,0.9634387351778656,0.975,0.9691848906560636,1000.0,09102024_015314
6,0.6816367265469062,0.683,0.6823176823176823,1000.0,09102024_015314
7,0.9546858908341916,0.927,0.9406392694063926,1000.0,09102024_015314
8,0.9766970618034448,0.964,0.9703069954705588,1000.0,09102024_015314
9,0.943579766536965,0.97,0.9566074950690336,1000.0,09102024_015314
accuracy,0.8863,0.8863,0.8863,0.8863,09102024_015314
macro avg,0.8875191990725441,0.8863000000000001,0.8863422015797886,10000.0,09102024_015314
weighted avg,0.887519199072544,0.8863,0.8863422015797885,10000.0,09102024_015314
0,0.8125,0.871,0.8407335907335908,1000.0,09102024_020238
1,0.9989701338825951,0.97,0.9842719431760528,1000.0,09102024_020238
2,0.8137614678899082,0.887,0.8488038277511962,1000.0,09102024_020238
3,0.8811121764141898,0.919,0.899657366617719,1000.0,09102024_020238
4,0.8775743707093822,0.767,0.8185699039487727,1000.0,09102024_020238
5,0.9700598802395208,0.972,0.971028971028971,1000.0,09102024_020238
6,0.7061909758656874,0.673,0.6891961085509473,1000.0,09102024_020238
7,0.9476334340382678,0.941,0.9443050677370798,1000.0,09102024_020238
8,0.9767911200807264,0.968,0.9723756906077348,1000.0,09102024_020238
9,0.95351137487636,0.964,0.9587270014917952,1000.0,09102024_020238
accuracy,0.8932,0.8932,0.8932,0.8932,09102024_020238
macro avg,0.8938104933996638,0.8932,0.892766947164386,10000.0,09102024_020238
weighted avg,0.8938104933996638,0.8932,0.892766947164386,10000.0,09102024_020238
0,0.8054054054054054,0.894,0.8473933649289099,1000.0,09102024_020343
1,0.9928716904276986,0.975,0.9838546922300706,1000.0,09102024_020343
2,0.829686013320647,0.872,0.8503169185763042,1000.0,09102024_020343
3,0.8929961089494164,0.918,0.9053254437869822,1000.0,09102024_020343
4,0.8743047830923248,0.786,0.8278041074249605,1000.0,09102024_020343
5,0.9683794466403162,0.98,0.974155069582505,1000.0,09102024_020343
6,0.7348734873487349,0.668,0.6998428496595076,1000.0,09102024_020343
7,0.9668449197860962,0.904,0.9343669250645996,1000.0,09102024_020343
8,0.9606299212598424,0.976,0.9682539682539684,1000.0,09102024_020343
9,0.9243856332703214,0.978,0.9504373177842566,1000.0,09102024_020343
accuracy,0.8951,0.8951,0.8951,0.8951,09102024_020343
macro avg,0.8950377409500803,0.8951,0.8941750657292065,10000.0,09102024_020343
weighted avg,0.8950377409500803,0.8951,0.8941750657292065,10000.0,09102024_020343
0,0.8942307692307693,0.744,0.8122270742358079,1000.0,09102024_020447
1,0.9655511811023622,0.981,0.9732142857142856,1000.0,09102024_020447
2,0.8973774230330672,0.787,0.838572189664358,1000.0,09102024_020447
3,0.9479905437352246,0.802,0.8689057421451788,1000.0,09102024_020447
